item_uri,formatted_chart_title,formatted_table_title,member_id,period,subscription_start,subscription_end,metric,score
wells-washington-hope-peace,"*Washington and the Hope of Peace*,<br> H. G. Wells",Washington and the Hope of Peace by  H. G. Wells,hemingway-ernest,1921-12-28/1922-11-08,1921-12-28,1922-11-08,euclidean,0.42857142857142855
mencken-book-burlesques,"*A Book of Burlesques*,<br> H. L. Mencken",A Book of Burlesques by  H. L. Mencken,hemingway-ernest,1924-03-28/1925-03-28,1924-03-28,1925-03-28,euclidean,0.42857142857142855
moore-avowals,"*Avowals*,<br> George Moore",Avowals by  George Moore,hemingway-ernest,1924-03-28/1925-03-28,1924-03-28,1925-03-28,euclidean,0.42857142857142855
morris-specimens-early-english,"*Specimens of Early English*,<br>(Periodical)",Specimens of Early English by (Periodical),hemingway-ernest,1921-12-28/1922-11-08,1921-12-28,1922-11-08,euclidean,0.42857142857142855
swinnerton-george-gissing-critical,"*George Gissing: A Critical Study*,<br> Frank Swinnerton",George Gissing: A Critical Study by  Frank Swinnerton,hemingway-ernest,1921-12-28/1922-11-08,1921-12-28,1922-11-08,euclidean,0.42857142857142855
wright-life-walter-pater,"*The Life of Walter Pater*,<br> Thomas Wright",The Life of Walter Pater by  Thomas Wright,hemingway-ernest,1924-03-28/1925-03-28,1924-03-28,1925-03-28,euclidean,0.42857142857142855
morris-specimens-early-english,"*Specimens of Early English*,<br>(Periodical)",Specimens of Early English by (Periodical),hemingway-ernest,1924-03-28/1925-03-28,1924-03-28,1925-03-28,euclidean,0.42857142857142855
austen-lady-susan,"*Lady Susan*,<br> Jane Austen",Lady Susan by  Jane Austen,hemingway-ernest,1924-03-28/1925-03-28,1924-03-28,1925-03-28,euclidean,0.42857142857142855
abercrombie-thomas-hardy-critical,"*Thomas Hardy: A Critical Study*,<br> Lascelles Abercrombie",Thomas Hardy: A Critical Study by  Lascelles Abercrombie,hemingway-ernest,1921-12-28/1922-11-08,1921-12-28,1922-11-08,euclidean,0.42857142857142855
abercrombie-thomas-hardy-critical,"*Thomas Hardy: A Critical Study*,<br> Lascelles Abercrombie",Thomas Hardy: A Critical Study by  Lascelles Abercrombie,hemingway-ernest,1924-03-28/1925-03-28,1924-03-28,1925-03-28,euclidean,0.42857142857142855
chesterton-things-considered,"*All Things Considered*,<br> G. K. Chesterton",All Things Considered by  G. K. Chesterton,hemingway-ernest,1924-03-28/1925-03-28,1924-03-28,1925-03-28,euclidean,0.42857142857142855
byron-lord-byrons-correspondence,"*Lord Byron's Correspondence*,<br> George Gordon Byron Byron",Lord Byron's Correspondence by  George Gordon Byron Byron,hemingway-ernest,1924-03-28/1925-03-28,1924-03-28,1925-03-28,euclidean,0.42857142857142855
bell-since-cezanne,"*Since Cézanne*,<br> Clive Bell",Since Cézanne by  Clive Bell,hemingway-ernest,1924-03-28/1925-03-28,1924-03-28,1925-03-28,euclidean,0.42857142857142855
bell-since-cezanne,"*Since Cézanne*,<br> Clive Bell",Since Cézanne by  Clive Bell,hemingway-ernest,1921-12-28/1922-11-08,1921-12-28,1922-11-08,euclidean,0.42857142857142855
carritt-theory-beauty,"*The Theory of Beauty*,<br> E. F. Carritt",The Theory of Beauty by  E. F. Carritt,hemingway-ernest,1924-03-28/1925-03-28,1924-03-28,1925-03-28,cosine,0.4281512185584556
criterion,"*The Criterion*,<br>(Periodical)",The Criterion by (Periodical),hemingway-ernest,1924-03-28/1925-03-28,1924-03-28,1925-03-28,cosine,0.4171148339357547
percy-bysshe-shelley,"*Percy Bysshe Shelley*,<br>(Periodical)",Percy Bysshe Shelley by (Periodical),hemingway-ernest,1924-03-28/1925-03-28,1924-03-28,1925-03-28,euclidean,0.39285714285714285
percy-bysshe-shelley,"*Percy Bysshe Shelley*,<br>(Periodical)",Percy Bysshe Shelley by (Periodical),hemingway-ernest,1921-12-28/1922-11-08,1921-12-28,1922-11-08,euclidean,0.39285714285714285
shaw-unsocial-socialist,"*An Unsocial Socialist*,<br> George Bernard Shaw",An Unsocial Socialist by  George Bernard Shaw,hemingway-ernest,1921-12-28/1922-11-08,1921-12-28,1922-11-08,euclidean,0.39285714285714285
shaw-unsocial-socialist,"*An Unsocial Socialist*,<br> George Bernard Shaw",An Unsocial Socialist by  George Bernard Shaw,hemingway-ernest,1924-03-28/1925-03-28,1924-03-28,1925-03-28,euclidean,0.39285714285714285
pound-instigations-ezra-pound,"*Instigations of Ezra Pound: Together with an Essay on the Chinese Written Character, by Ernest Fenollosa*,<br> Ernest  Ezra;Fenollosa Pound","Instigations of Ezra Pound: Together with an Essay on the Chinese Written Character, by Ernest Fenollosa by  Ernest  Ezra;Fenollosa Pound",hemingway-ernest,1924-03-28/1925-03-28,1924-03-28,1925-03-28,euclidean,0.3857142857142857
pound-instigations-ezra-pound,"*Instigations of Ezra Pound: Together with an Essay on the Chinese Written Character, by Ernest Fenollosa*,<br> Ernest  Ezra;Fenollosa Pound","Instigations of Ezra Pound: Together with an Essay on the Chinese Written Character, by Ernest Fenollosa by  Ernest  Ezra;Fenollosa Pound",hemingway-ernest,1921-12-28/1922-11-08,1921-12-28,1922-11-08,euclidean,0.3857142857142857
fielding-history-tom-jones,"*The History of Tom Jones, a Foundling*,<br> Henry Fielding","The History of Tom Jones, a Foundling by  Henry Fielding",hemingway-ernest,1924-03-28/1925-03-28,1924-03-28,1925-03-28,euclidean,0.37499999999999994
fielding-history-tom-jones,"*The History of Tom Jones, a Foundling*,<br> Henry Fielding","The History of Tom Jones, a Foundling by  Henry Fielding",hemingway-ernest,1921-12-28/1922-11-08,1921-12-28,1922-11-08,euclidean,0.37499999999999994
squire-london-mercury,"*The London Mercury*,<br>(Periodical)",The London Mercury by (Periodical),hemingway-ernest,1924-03-28/1925-03-28,1924-03-28,1925-03-28,cosine,0.36500416159292964
squire-london-mercury,"*The London Mercury*,<br>(Periodical)",The London Mercury by (Periodical),hemingway-ernest,1921-12-28/1922-11-08,1921-12-28,1922-11-08,cosine,0.36500416159292964
oscar-wilde,"*Oscar Wilde*,<br>(Periodical)",Oscar Wilde by (Periodical),hemingway-ernest,1921-12-28/1922-11-08,1921-12-28,1922-11-08,euclidean,0.36335403726708076
oscar-wilde,"*Oscar Wilde*,<br>(Periodical)",Oscar Wilde by (Periodical),hemingway-ernest,1924-03-28/1925-03-28,1924-03-28,1925-03-28,euclidean,0.36335403726708076
morris-specimens-early-english,"*Specimens of Early English*,<br>(Periodical)",Specimens of Early English by (Periodical),hemingway-ernest,1921-12-28/1922-11-08,1921-12-28,1922-11-08,cosine,0.359062520432984
morris-specimens-early-english,"*Specimens of Early English*,<br>(Periodical)",Specimens of Early English by (Periodical),hemingway-ernest,1924-03-28/1925-03-28,1924-03-28,1925-03-28,cosine,0.359062520432984
moore-avowals,"*Avowals*,<br> George Moore",Avowals by  George Moore,hemingway-ernest,1924-03-28/1925-03-28,1924-03-28,1925-03-28,cosine,0.35421678374404975
mencken-american-language,"*The American Language*,<br> H. L. Mencken",The American Language by  H. L. Mencken,hemingway-ernest,1921-12-28/1922-11-08,1921-12-28,1922-11-08,euclidean,0.3482142857142857
mencken-american-language,"*The American Language*,<br> H. L. Mencken",The American Language by  H. L. Mencken,hemingway-ernest,1924-03-28/1925-03-28,1924-03-28,1925-03-28,euclidean,0.3482142857142857
stevenson-virginibus-puerisque-papers,"*Virginibus Puerisque and Other Papers*,<br> Robert Louis Stevenson",Virginibus Puerisque and Other Papers by  Robert Louis Stevenson,hemingway-ernest,1924-03-28/1925-03-28,1924-03-28,1925-03-28,euclidean,0.3214285714285714
nock-freeman,"*The Freeman*,<br>(Periodical)",The Freeman by (Periodical),hemingway-ernest,1921-12-28/1922-11-08,1921-12-28,1922-11-08,euclidean,0.3214285714285714
rhys-rabindranath-tagore-biographical,"*Rabindranath Tagore: A Biographical Study*,<br> Ernest Rhys",Rabindranath Tagore: A Biographical Study by  Ernest Rhys,hemingway-ernest,1921-12-28/1922-11-08,1921-12-28,1922-11-08,euclidean,0.3214285714285714
rhys-rabindranath-tagore-biographical,"*Rabindranath Tagore: A Biographical Study*,<br> Ernest Rhys",Rabindranath Tagore: A Biographical Study by  Ernest Rhys,hemingway-ernest,1924-03-28/1925-03-28,1924-03-28,1925-03-28,euclidean,0.3214285714285714
du-bois-darkwater,"*Darkwater: Voices from within the Veil*,<br> W. E. B. Du Bois",Darkwater: Voices from within the Veil by  W. E. B. Du Bois,hemingway-ernest,1924-03-28/1925-03-28,1924-03-28,1925-03-28,euclidean,0.3214285714285714
nock-freeman,"*The Freeman*,<br>(Periodical)",The Freeman by (Periodical),hemingway-ernest,1924-03-28/1925-03-28,1924-03-28,1925-03-28,euclidean,0.3214285714285714
stevenson-virginibus-puerisque-papers,"*Virginibus Puerisque and Other Papers*,<br> Robert Louis Stevenson",Virginibus Puerisque and Other Papers by  Robert Louis Stevenson,hemingway-ernest,1921-12-28/1922-11-08,1921-12-28,1922-11-08,euclidean,0.3214285714285714
chesterton-heretics,"*Heretics*,<br> G. K. Chesterton",Heretics by  G. K. Chesterton,hemingway-ernest,1924-03-28/1925-03-28,1924-03-28,1925-03-28,euclidean,0.3214285714285714
du-bois-darkwater,"*Darkwater: Voices from within the Veil*,<br> W. E. B. Du Bois",Darkwater: Voices from within the Veil by  W. E. B. Du Bois,hemingway-ernest,1921-12-28/1922-11-08,1921-12-28,1922-11-08,euclidean,0.3214285714285714
fitzgerald-side-paradise,"*This Side of Paradise*,<br> F. Scott Fitzgerald",This Side of Paradise by  F. Scott Fitzgerald,hemingway-ernest,1924-03-28/1925-03-28,1924-03-28,1925-03-28,euclidean,0.3214285714285714
chesterton-heretics,"*Heretics*,<br> G. K. Chesterton",Heretics by  G. K. Chesterton,hemingway-ernest,1921-12-28/1922-11-08,1921-12-28,1922-11-08,euclidean,0.3214285714285714
sinnett-growth-soul,"*The Growth of the Soul*,<br> A. P. Sinnett",The Growth of the Soul by  A. P. Sinnett,hemingway-ernest,1924-03-28/1925-03-28,1924-03-28,1925-03-28,euclidean,0.3214285714285714
fitzgerald-side-paradise,"*This Side of Paradise*,<br> F. Scott Fitzgerald",This Side of Paradise by  F. Scott Fitzgerald,hemingway-ernest,1921-12-28/1922-11-08,1921-12-28,1922-11-08,euclidean,0.3214285714285714
sinnett-growth-soul,"*The Growth of the Soul*,<br> A. P. Sinnett",The Growth of the Soul by  A. P. Sinnett,hemingway-ernest,1921-12-28/1922-11-08,1921-12-28,1922-11-08,euclidean,0.3214285714285714
dunsany-fifty-one-tales,"*Fifty-One Tales*,<br> Lord Dunsany",Fifty-One Tales by  Lord Dunsany,hemingway-ernest,1921-12-28/1922-11-08,1921-12-28,1922-11-08,euclidean,0.31318681318681313
dunsany-fifty-one-tales,"*Fifty-One Tales*,<br> Lord Dunsany",Fifty-One Tales by  Lord Dunsany,hemingway-ernest,1924-03-28/1925-03-28,1924-03-28,1925-03-28,euclidean,0.31318681318681313
eastman-enjoyment-poetry,"*Enjoyment of Poetry*,<br> Max Eastman",Enjoyment of Poetry by  Max Eastman,hemingway-ernest,1924-03-28/1925-03-28,1924-03-28,1925-03-28,euclidean,0.31318681318681313
eastman-enjoyment-poetry,"*Enjoyment of Poetry*,<br> Max Eastman",Enjoyment of Poetry by  Max Eastman,hemingway-ernest,1921-12-28/1922-11-08,1921-12-28,1922-11-08,euclidean,0.31318681318681313
mckenna-sonia-two-worlds,"*Sonia: Between Two Worlds*,<br> Stephen McKenna",Sonia: Between Two Worlds by  Stephen McKenna,hemingway-ernest,1924-03-28/1925-03-28,1924-03-28,1925-03-28,euclidean,0.3
freud-totem-taboo,"*Totem and Taboo*,<br> Sigmund Freud",Totem and Taboo by  Sigmund Freud,hemingway-ernest,1924-03-28/1925-03-28,1924-03-28,1925-03-28,euclidean,0.3
green-short-history-english,"*A Short History of the English People*,<br> John Richard Green",A Short History of the English People by  John Richard Green,hemingway-ernest,1924-03-28/1925-03-28,1924-03-28,1925-03-28,euclidean,0.3
green-short-history-english,"*A Short History of the English People*,<br> John Richard Green",A Short History of the English People by  John Richard Green,hemingway-ernest,1921-12-28/1922-11-08,1921-12-28,1922-11-08,euclidean,0.3
mckenna-sonia-two-worlds,"*Sonia: Between Two Worlds*,<br> Stephen McKenna",Sonia: Between Two Worlds by  Stephen McKenna,hemingway-ernest,1921-12-28/1922-11-08,1921-12-28,1922-11-08,euclidean,0.3
wells-outline-history,"*The Outline of History*,<br> H. G. Wells",The Outline of History by  H. G. Wells,hemingway-ernest,1924-03-28/1925-03-28,1924-03-28,1925-03-28,euclidean,0.3
wells-outline-history,"*The Outline of History*,<br> H. G. Wells",The Outline of History by  H. G. Wells,hemingway-ernest,1921-12-28/1922-11-08,1921-12-28,1922-11-08,euclidean,0.3
freud-totem-taboo,"*Totem and Taboo*,<br> Sigmund Freud",Totem and Taboo by  Sigmund Freud,hemingway-ernest,1921-12-28/1922-11-08,1921-12-28,1922-11-08,euclidean,0.3
shaw-irrational-knot,"*The Irrational Knot*,<br> George Bernard Shaw",The Irrational Knot by  George Bernard Shaw,hemingway-ernest,1921-12-28/1922-11-08,1921-12-28,1922-11-08,euclidean,0.2967032967032967
shaw-irrational-knot,"*The Irrational Knot*,<br> George Bernard Shaw",The Irrational Knot by  George Bernard Shaw,hemingway-ernest,1924-03-28/1925-03-28,1924-03-28,1925-03-28,euclidean,0.2967032967032967
criterion,"*The Criterion*,<br>(Periodical)",The Criterion by (Periodical),hemingway-ernest,1924-03-28/1925-03-28,1924-03-28,1925-03-28,pearson,0.29496641369923426
wharton-age-innocence,"*The Age of Innocence*,<br> Edith Wharton",The Age of Innocence by  Edith Wharton,hemingway-ernest,1921-12-28/1922-11-08,1921-12-28,1922-11-08,euclidean,0.2857142857142857
tagore-gitanjali,"*Gitanjali*,<br> Rabindranath Tagore",Gitanjali by  Rabindranath Tagore,hemingway-ernest,1924-03-28/1925-03-28,1924-03-28,1925-03-28,euclidean,0.2857142857142857
hardy-collected-poems-thomas,"*Collected Poems of Thomas Hardy*,<br> Thomas Hardy",Collected Poems of Thomas Hardy by  Thomas Hardy,hemingway-ernest,1924-03-28/1925-03-28,1924-03-28,1925-03-28,euclidean,0.2857142857142857
hardy-mayor-casterbridge,"*The Mayor of Casterbridge*,<br> Thomas Hardy",The Mayor of Casterbridge by  Thomas Hardy,hemingway-ernest,1924-03-28/1925-03-28,1924-03-28,1925-03-28,euclidean,0.2857142857142857
hardy-mayor-casterbridge,"*The Mayor of Casterbridge*,<br> Thomas Hardy",The Mayor of Casterbridge by  Thomas Hardy,hemingway-ernest,1921-12-28/1922-11-08,1921-12-28,1922-11-08,euclidean,0.2857142857142857
wharton-age-innocence,"*The Age of Innocence*,<br> Edith Wharton",The Age of Innocence by  Edith Wharton,hemingway-ernest,1924-03-28/1925-03-28,1924-03-28,1925-03-28,euclidean,0.2857142857142857
hardy-collected-poems-thomas,"*Collected Poems of Thomas Hardy*,<br> Thomas Hardy",Collected Poems of Thomas Hardy by  Thomas Hardy,hemingway-ernest,1921-12-28/1922-11-08,1921-12-28,1922-11-08,euclidean,0.2857142857142857
tagore-gitanjali,"*Gitanjali*,<br> Rabindranath Tagore",Gitanjali by  Rabindranath Tagore,hemingway-ernest,1921-12-28/1922-11-08,1921-12-28,1922-11-08,euclidean,0.2857142857142857
lindsay-daniel-jazz-poems,"*The Daniel Jazz and Other Poems*,<br> Vachel Lindsay",The Daniel Jazz and Other Poems by  Vachel Lindsay,hemingway-ernest,1924-03-28/1925-03-28,1924-03-28,1925-03-28,cosine,0.2854341457056371
swinnerton-george-gissing-critical,"*George Gissing: A Critical Study*,<br> Frank Swinnerton",George Gissing: A Critical Study by  Frank Swinnerton,hemingway-ernest,1921-12-28/1922-11-08,1921-12-28,1922-11-08,cosine,0.2854341457056371
howells,"*Howells*,<br>(Periodical)",Howells by (Periodical),hemingway-ernest,1924-03-28/1925-03-28,1924-03-28,1925-03-28,cosine,0.2854341457056371
corkery-threshold-quiet,"*The Threshold of Quiet*,<br> Daniel Corkery",The Threshold of Quiet by  Daniel Corkery,hemingway-ernest,1924-03-28/1925-03-28,1924-03-28,1925-03-28,cosine,0.2854341457056371
wright-life-walter-pater,"*The Life of Walter Pater*,<br> Thomas Wright",The Life of Walter Pater by  Thomas Wright,hemingway-ernest,1921-12-28/1922-11-08,1921-12-28,1922-11-08,cosine,0.2854341457056371
bell-since-cezanne,"*Since Cézanne*,<br> Clive Bell",Since Cézanne by  Clive Bell,hemingway-ernest,1924-03-28/1925-03-28,1924-03-28,1925-03-28,cosine,0.2854341457056371
george-bed-roses,"*A Bed of Roses*,<br> Walter Lionel George",A Bed of Roses by  Walter Lionel George,hemingway-ernest,1924-03-28/1925-03-28,1924-03-28,1925-03-28,cosine,0.2854341457056371
lindsay-daniel-jazz-poems,"*The Daniel Jazz and Other Poems*,<br> Vachel Lindsay",The Daniel Jazz and Other Poems by  Vachel Lindsay,hemingway-ernest,1921-12-28/1922-11-08,1921-12-28,1922-11-08,cosine,0.2854341457056371
galsworthy-villa-rubein,"*Villa Rubein*,<br> John Galsworthy",Villa Rubein by  John Galsworthy,hemingway-ernest,1924-03-28/1925-03-28,1924-03-28,1925-03-28,cosine,0.2854341457056371
howells,"*Howells*,<br>(Periodical)",Howells by (Periodical),hemingway-ernest,1921-12-28/1922-11-08,1921-12-28,1922-11-08,cosine,0.2854341457056371
picked-company,"*A Picked Company*,<br>(Periodical)",A Picked Company by (Periodical),hemingway-ernest,1924-03-28/1925-03-28,1924-03-28,1925-03-28,cosine,0.2854341457056371
bell-since-cezanne,"*Since Cézanne*,<br> Clive Bell",Since Cézanne by  Clive Bell,hemingway-ernest,1921-12-28/1922-11-08,1921-12-28,1922-11-08,cosine,0.2854341457056371
picked-company,"*A Picked Company*,<br>(Periodical)",A Picked Company by (Periodical),hemingway-ernest,1921-12-28/1922-11-08,1921-12-28,1922-11-08,cosine,0.2854341457056371
austen-lady-susan,"*Lady Susan*,<br> Jane Austen",Lady Susan by  Jane Austen,hemingway-ernest,1924-03-28/1925-03-28,1924-03-28,1925-03-28,cosine,0.2854341457056371
smollett-adventures-roderick-random,"*The Adventures of Roderick Random*,<br> Tobias Smollett",The Adventures of Roderick Random by  Tobias Smollett,hemingway-ernest,1924-03-28/1925-03-28,1924-03-28,1925-03-28,cosine,0.2854341457056371
dostoyevsky-eternal-husband-stories,"*The Eternal Husband and Other Stories*,<br> Fyodor Dostoyevsky",The Eternal Husband and Other Stories by  Fyodor Dostoyevsky,hemingway-ernest,1924-03-28/1925-03-28,1924-03-28,1925-03-28,cosine,0.2854341457056371
snaith-van-roon,"*The Van Roon*,<br> J. C. Snaith",The Van Roon by  J. C. Snaith,hemingway-ernest,1924-03-28/1925-03-28,1924-03-28,1925-03-28,cosine,0.2854341457056371
wells-washington-hope-peace,"*Washington and the Hope of Peace*,<br> H. G. Wells",Washington and the Hope of Peace by  H. G. Wells,hemingway-ernest,1924-03-28/1925-03-28,1924-03-28,1925-03-28,cosine,0.2854341457056371
white-gold,"*Gold*,<br> Stewart Edward White",Gold by  Stewart Edward White,hemingway-ernest,1924-03-28/1925-03-28,1924-03-28,1925-03-28,cosine,0.2854341457056371
wright-life-walter-pater,"*The Life of Walter Pater*,<br> Thomas Wright",The Life of Walter Pater by  Thomas Wright,hemingway-ernest,1924-03-28/1925-03-28,1924-03-28,1925-03-28,cosine,0.2854341457056371
jones-samuel-butler,"*Samuel Butler*,<br> Henry Festing Jones",Samuel Butler by  Henry Festing Jones,hemingway-ernest,1924-03-28/1925-03-28,1924-03-28,1925-03-28,cosine,0.2854341457056371
